Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2013,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,IT,BR,,,10,skins,,T,C
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,IT,ZA,,,3,trophies,,H,F
2013,I,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,IT,US,,,1,live,,P,C
2013,I,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,IT,US,,1,,live,,P,F
2013,I,Ariocarpus agavoides,,Caryophyllales,Cactaceae,Ariocarpus,IT,US,,,30,seeds,,T,D
2013,I,Ariocarpus fissuratus,,Caryophyllales,Cactaceae,Ariocarpus,IT,TH,,,11,live,,,D
2013,I,Ariocarpus fissuratus,,Caryophyllales,Cactaceae,Ariocarpus,IT,US,,,210,seeds,,T,D
2013,I,Ariocarpus kotschoubeyanus,,Caryophyllales,Cactaceae,Ariocarpus,IT,TH,,,2,live,,,D
2013,I,Ariocarpus kotschoubeyanus,,Caryophyllales,Cactaceae,Ariocarpus,IT,US,,,240,seeds,,T,D
2013,I,Ariocarpus retusus,,Caryophyllales,Cactaceae,Ariocarpus,IT,TH,,,7,live,,,D
2013,I,Ariocarpus retusus,,Caryophyllales,Cactaceae,Ariocarpus,IT,US,,,110,seeds,,T,D
2013,I,Ariocarpus scaphirostris,,Caryophyllales,Cactaceae,Ariocarpus,IT,US,,,35,seeds,,T,D
2013,I,Ariocarpus trigonus,,Caryophyllales,Cactaceae,Ariocarpus,IT,TH,,,2,live,,,D
2013,I,Ariocarpus trigonus,,Caryophyllales,Cactaceae,Ariocarpus,IT,US,,,80,seeds,,T,D
2013,I,Astrophytum asterias,,Caryophyllales,Cactaceae,Astrophytum,IT,TH,,1,,live,,T,D
2013,I,Astrophytum asterias,,Caryophyllales,Cactaceae,Astrophytum,IT,TH,,,20,live,,,D
2013,I,Coryphantha werdermannii,,Caryophyllales,Cactaceae,Coryphantha,IT,US,,80,120,seeds,,T,D
2013,I,Echinocereus ferreiranus lindsayorum,,Caryophyllales,Cactaceae,Echinocereus,IT,US,,,10,seeds,,T,D
2013,I,Mammillaria pectinifera,,Caryophyllales,Cactaceae,Mammillaria,IT,US,,,10,seeds,,T,D
2013,I,Melocactus conoideus,,Caryophyllales,Cactaceae,Melocactus,IT,US,,,20,seeds,,T,D
2013,I,Obregonia denegrii,,Caryophyllales,Cactaceae,Obregonia,IT,US,,,30,seeds,,T,D
